dutch_name;color;behavior;shape;habitat;when_to_spot;rarity;characteristics;image_credit;image_author_reference;image_wikimedia_source;image_license;image_license_url
zwarte mees;9;;;1&3;Gehele jaar;;;;;;;
zwarte ooievaar;2&3;9;;;Zomerhalfjaar;4;;;;;;
zwarte roodstaart;2&11;3;;2&4;Zomerhalfjaar;2;;;;;;
zwarte ruiter;;7&8;;8;Gehele jaar;;;;;;;
zwarte specht;2&11;6;;3;Gehele jaar;;;;;;;
zwarte stern;;4;;5&6;Zomerhalfjaar;;;;;;;
zwarte wouw;;;2;;Voorjaar;4;;;;;;
zwarte zee-eend;;;;10;Winterhalfjaar;;;;;;;
zwarte zwaan;2;;8;;Gehele jaar;;;;;;;
zwartkop;4&7&11;10;;2;Zomerhalfjaar;;;;;;;
zwartkopmeeuw;;;4;;Zomerhalfjaar;;;;;;;
